Products - Southlake,,,,Qty,Amount,,"% Cat
Sales",,,,"% Total
Sales"
CICC1293: Gold Heart Shaker Charm,,,,7,$56.00 ,,0.13%,,,,0.01%
CICC1296: BFF Buddies Charm,,,,6,$48.00 ,,0.11%,,,,0.01%
CICC1301: Baby Sea Turtle Charm,,,,3,$24.00 ,,0.06%,,,,0.01%
CICC1302: Unicone Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1306: Swivel Pig Charm,,,,3,$24.00 ,,0.06%,,,,0.01%
CICC1307: Swivel Owl Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1313: Kitty Ears Headphones Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1314: Glitter Cupcake Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
CICC1315: Glitter Rainbow Charm,,,,5,$40.00 ,,0.10%,,,,0.01%
CICC1317: Gold Mermaid Tiara Charm,,,,8,$64.00 ,,0.15%,,,,0.02%
CICC1318: Gold Unicorn Piñata Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1319: Gold Unicorn Smoothie Charm,,,,12,$96.00 ,,0.23%,,,,0.02%
CICC1320: Gold Butterfly Charm,,,,9,$72.00 ,,0.17%,,,,0.02%
CICC1321: Gold Heart Sunglasses Charm,,,,5,$40.00 ,,0.10%,,,,0.01%
CICC1327: Mermaid Mirror Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1329: Gold Swivel Ice Cream Cone Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1333: Gold Unicorn Smiley Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
CICC1336: Gold Christmas Tree Charm,,,,5,$40.00 ,,0.10%,,,,0.01%
CICC1337: Caticorn Charm,,,,6,$46.00 ,,0.11%,,,,0.01%
CICC1340: Gold Swivel Mermaid Charm,,,,6,$48.00 ,,0.11%,,,,0.01%
CICC1354: Gold Swivel Peacock Charm,,,,5,$40.00 ,,0.10%,,,,0.01%
CICC1355: Swivel Frog Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
CICC1360: Gold Glitter Starfish Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1365: Gold Glitter Best Sister Charm,,,,6,$48.00 ,,0.11%,,,,0.01%
CICC1366: Gold Glitter Horse Charm,,,,6,$48.00 ,,0.11%,,,,0.01%
CICC1368: Gold Glitter Flamingo Charm,,,,6,$48.00 ,,0.11%,,,,0.01%
CICC1369: Glitter Panda Charm,,,,8,$64.00 ,,0.15%,,,,0.02%
CICC1370: Glitter Llama Charm,,,,3,$24.00 ,,0.06%,,,,0.01%
CICC1372: Gold Glitter Hedgehog Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
CICC1382: Glitter Elephant Charm,,,,8,$64.00 ,,0.15%,,,,0.02%
CICC1386: Silver BFF Broken Heart Charm,,,,11,$88.00 ,,0.17%,,,,0.02%
CICC1386: Silver BFF Broken Heart Charm,,,,-2,($16.00),,,,,,
CICC1387: Gold BFF Broken Heart Charm,,,,17,$136.00 ,,0.33%,,,,0.03%
CICC1392: Gold Orange Popsicle Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
CICC1393: Gold Gumball Machine Charm,,,,3,$24.00 ,,0.06%,,,,0.01%
CICC1396: Gold Grandma's Girl Locket Charm,,,,7,$56.00 ,,0.13%,,,,0.01%
CICC1397: Gold Glitter Unicorn Charm,,,,5,$40.00 ,,0.10%,,,,0.01%
CICC1398: Princess Pony Charm,,,,3,$22.00 ,,0.05%,,,,0.01%
CICC1399: Gold Princess Kitty Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1400: Gold Glitter #1 Friend Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1401: Gold Sunshine Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
CICC1404: Gold Rainbow Rollerskate Charm,,,,5,$40.00 ,,0.10%,,,,0.01%
CICC1405: Gold Glitter Shooting Star Charm,,,,6,$48.00 ,,0.11%,,,,0.01%
CICC1406: Gold Rainbow Bridge Charm,,,,3,$24.00 ,,0.06%,,,,0.01%
CICC1409: Gold Rainbow Cloud Charm,,,,9,$72.00 ,,0.17%,,,,0.02%
CICC1410: Gold Glitter Soccerball Charm,,,,8,$64.00 ,,0.15%,,,,0.02%
CICC1411: Rainbow Daisy Charm,,,,7,$56.00 ,,0.13%,,,,0.01%
CICC1412: Gold Candy Ring Charm,,,,7,$56.00 ,,0.13%,,,,0.01%
CICC1414: Gold Corgi Charm,,,,5,$38.00 ,,0.09%,,,,0.01%
CICC1415: Gold Flying Unicorn Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
CICC1418: Gold Pink Christmas Tree Charm,,,,5,$38.00 ,,0.09%,,,,0.01%
CICC1419: Gold Tooth Fairy Charm,,,,6,$48.00 ,,0.11%,,,,0.01%
CICC1421: Gold Glitter Basketball Charm,,,,3,$24.00 ,,0.06%,,,,0.01%
CICC1422: Gold Ribbon Toucan Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC1424: Gold Big Sister Charm,,,,8,$64.00 ,,0.15%,,,,0.02%
CICC1425: Gold Little Sister Charm,,,,4,$32.00 ,,0.08%,,,,0.01%
CICC1427: Gold Cheer Spirit Charm,,,,11,$88.00 ,,0.21%,,,,0.02%
CICC1430: Gold Glitter Nail Polish Charm,,,,18,$144.00 ,,0.34%,,,,0.03%
CICC1432: Gold Daddy's Girl Charm,,,,14,$112.00 ,,0.27%,,,,0.03%
CICC1437: Gold Glitter Flip Flop Charm,,,,1,$8.00 ,,0.02%,,,,0.00%
CICC1447: Gold Jar of Hearts Shaker Charm,,,,2,$16.00 ,,0.04%,,,,0.00%
CICC723-A: Confetti Cake Charm,,,,4,$32.00 ,,0.08%,,,,0.01%
CICC768: Touch Phone Charm,,,,4,$32.00 ,,0.08%,,,,0.01%
CICC801-A: Donut Charm,,,,4,$32.00 ,,0.08%,,,,0.01%
CICC988: Girls Can Change the World Locket Charm,,,,4,$32.00 ,,0.08%,,,,0.01%
CIN100: CHARM IT! Chain Necklace,,,,24,$288.00 ,,0.69%,,,,0.07%
